user_idx,book_idx,rating,city
2240,11318,6.0,toronto
2241,781,7.0,toronto
2244,15501,6.0,toronto
2248,17249,7.0,toronto
2248,18973,9.0,toronto
2249,11542,6.0,toronto
2251,14208,9.0,toronto
2255,901,7.0,toronto
9,7347,7.0,toronto
25,1685,7.0,toronto
25,13027,7.0,toronto
26,2101,7.0,toronto
26,3045,6.0,toronto
26,3617,9.0,toronto
26,5059,7.0,toronto
26,7595,6.0,toronto
26,8136,6.0,toronto
26,8311,4.0,toronto
26,8644,6.0,toronto
26,12934,8.0,toronto
26,13729,7.0,toronto
26,15034,4.0,toronto
26,16064,6.0,toronto
26,16069,6.0,toronto
26,16185,7.0,toronto
26,16609,9.0,toronto
26,18501,6.0,toronto
26,21039,7.0,toronto
26,23099,7.0,toronto
26,23206,7.0,toronto
31,8270,7.0,toronto
37,5839,6.0,toronto
37,5846,7.0,toronto
37,11282,6.0,toronto
38,2495,6.0,toronto
38,8368,7.0,toronto
38,18896,8.0,toronto
40,7083,5.0,toronto
40,7253,5.0,toronto
40,7722,5.0,toronto
40,7748,6.0,toronto
40,7789,9.0,toronto
40,9473,7.0,toronto
40,9571,7.0,toronto
40,10391,6.0,toronto
40,10480,7.0,toronto
40,12684,6.0,toronto
40,12699,7.0,toronto
40,13945,7.0,toronto
40,20317,6.0,toronto
41,957,8.0,toronto
41,9301,4.0,toronto
42,9414,7.0,toronto
44,304,8.0,toronto
44,1057,9.0,toronto
44,1245,7.0,toronto
44,3611,9.0,toronto
44,5644,7.0,toronto
44,5647,8.0,toronto
44,8091,8.0,toronto
44,9920,8.0,toronto
44,10039,6.0,toronto
44,11328,3.0,toronto
44,12880,8.0,toronto
44,12925,4.0,toronto
44,13483,8.0,toronto
44,13634,7.0,toronto
44,14941,9.0,toronto
44,14979,9.0,toronto
44,15482,6.0,toronto
44,15609,8.0,toronto
44,15726,4.0,toronto
44,15859,8.0,toronto
44,19648,9.0,toronto
44,20094,7.0,toronto
44,22395,4.0,toronto
44,25691,9.0,toronto
48,15130,9.0,toronto
52,3410,7.0,toronto
52,5737,9.0,toronto
55,12395,6.0,toronto
67,22572,7.0,toronto
73,84,8.0,toronto
73,5716,6.0,toronto
73,5938,8.0,toronto
73,7789,4.0,toronto
76,5144,9.0,toronto
81,11490,4.0,toronto
81,18989,8.0,toronto
81,19025,6.0,toronto
83,5697,7.0,toronto
86,1996,7.0,toronto
86,19022,9.0,toronto
88,17294,5.0,toronto
91,15131,9.0,toronto
95,23944,8.0,toronto
102,3699,6.0,toronto
102,4400,6.0,toronto
102,10344,6.0,toronto
102,17105,7.0,toronto
102,23156,4.0,toronto
108,1232,7.0,toronto
113,10000,5.0,toronto
115,2067,8.0,toronto
115,2319,9.0,toronto
115,21111,5.0,toronto
120,13573,6.0,toronto
120,20473,5.0,toronto
120,21394,7.0,toronto
120,22067,8.0,toronto
120,23092,8.0,toronto
126,11173,4.0,toronto
126,12956,7.0,toronto
126,16794,7.0,toronto
127,15473,8.0,toronto
131,13225,6.0,toronto
139,6635,5.0,toronto
139,24408,6.0,toronto
141,5896,5.0,toronto
141,15139,7.0,toronto
141,15147,7.0,toronto
145,7491,3.0,toronto
145,11121,6.0,toronto
145,11253,5.0,toronto
145,13748,7.0,toronto
145,20106,8.0,toronto
145,21942,8.0,toronto
145,22355,7.0,toronto
150,14355,6.0,toronto
153,920,7.0,toronto
153,3646,8.0,toronto
155,19411,4.0,toronto
155,25719,9.0,toronto
158,9986,4.0,toronto
158,10915,5.0,toronto
158,10926,6.0,toronto
158,15603,5.0,toronto
161,1454,8.0,toronto
163,4846,7.0,toronto
177,11362,7.0,toronto
178,22289,6.0,toronto
180,1981,7.0,toronto
180,5686,9.0,toronto
180,5688,9.0,toronto
189,19161,9.0,toronto
192,12234,6.0,toronto
202,15172,8.0,toronto
203,5984,4.0,toronto
209,2128,6.0,toronto
209,23201,7.0,toronto
209,23441,6.0,toronto
213,5026,4.0,toronto
225,10891,6.0,toronto
229,20608,5.0,toronto
242,5804,4.0,toronto
242,16007,4.0,toronto
243,2084,6.0,toronto
243,15459,7.0,toronto
243,15854,8.0,toronto
243,15855,7.0,toronto
